triagram,frequency,probability
सही,5091,0.0011117021555361063
दिल,3950,0.0008625463591372265
वजन,1396,0.00030483916895077676
रुख,1925,0.00042035487122510406
बना,10950,0.002391109527228514
बजे,8621,0.0018825347245878556
इसी,15798,0.0034497487042151657
रेप,7657,0.0016720297397249983
रोज,2213,0.000483244327283717
सकी,591,0.00012905440462027872
खूब,3170,0.0006922207489784831
आता,3059,0.0006679821044558926
आया,10357,0.002261618390274495
मां,9190,0.0020067850735369904
बहन,3122,0.0006817391729687142
कभी,8481,0.00185196346122603
सोच,2460,0.0005371807705006525
ऐसी,8857,0.001934069139969219
सिर,2782,0.0006074946762328517
लौट,1669,0.000364453132506337
बिग,4892,0.0010682472883289398
पार,2747,0.0005998518603923952
सेफ,209,4.563852887586844e-05
गिल,634,0.00013844414979569662
थूक,4,8.734646674807357e-07
टूट,1120,0.000244570106894606
आकर,2593,0.0005662234706943869
अली,4327,0.0009448704040472859
गजल,312,6.813024406349739e-05
आहत,561,0.00012250341961417318
ठीक,5544,0.0012106220291282998
नीम,148,3.231819269678722e-05
फूल,333,7.271593356777125e-05
चूक,578,0.0001262156444509663
समझ,2582,0.0005638214428588149
आती,3561,0.000777601920224725
छवि,1280,0.00027950869359383545
किस,3435,0.0007500877831990818
शाह,9956,0.0021740535573595513
देख,5171,0.0011291714488857211
भूल,1163,0.0002539598520700239
उसी,5157,0.0011261143225495386
जगह,9336,0.002038666533900037
पेश,7267,0.0015868669346456267
मेल,964,0.0002105049848628573
सफल,2668,0.0005826009332096508
चाल,470,0.00010263209842898645
भाग,2880,0.0006288945605861298
लगा,12733,0.002780456402758052
सेल,1829,0.00039939171920556644
जान,5522,0.0012058179734571557
कलह,343,7.489959523647308e-05
नगर,4498,0.0009822110185820872
गठन,1664,0.0003633613016719861
सुर,270,5.895886505494966e-05
कदम,6278,0.0013709027956110148
कवर,567,0.00012381361661539429
रु.,850,0.00018561124183965634
गौर,871,0.0001901969313439302
यदि,3095,0.0006758432864632193
हवा,1499,0.00032733088413840574
अहम,5916,0.0012918542432040082
सात,3648,0.000796599776742431
तेज,4915,0.001073269710166954
घोष,309,6.747514556288683e-05
पतन,66,1.441216701343214e-05
जुट,1016,0.0002218600255401069
आएं,281,6.136089289052169e-05
खबर,8980,0.0019609281784942517
कोल,97,2.118151818640784e-05
भरे,962,0.00021006825252911694
पंप,626,0.00013669722046073514
करा,2568,0.0005607643165226324
बेड,276,6.0269062056170764e-05
एवं,3972,0.0008673504148083706
राम,8602,0.0018783857674173222
घुस,824,0.00017993372150103157
अजय,2845,0.0006212517447456733
तरण,249,5.43731755506758e-05
गलत,4973,0.0010859349478454247
...,265,5.786703422059874e-05
सैफ,1708,0.00037296941301427416
खान,18990,0.004146773508864793
मचा,1341,0.00029282902977291665
बोल,2413,0.0005269175606577538
मेन,300,6.550985006105518e-05
भरी,1304,0.00028474948159871983
वैन,913,0.00019936831035247794
धाम,190,4.148957170533495e-05
दास,1837,0.00040113864854052786
शोक,515,0.00011245857593814472
हिट,1609,0.000351351162494126
कमर,494,0.00010787288643387086
तरफ,10473,0.0022869488656314363
हाल,10844,0.0023679627135402745
संग,2770,0.0006048742822304095
मगर,4357,0.0009514213890533914
शाम,5923,0.0012933828063720993
महल,326,7.118737039967996e-05
रोड,2657,0.0005801989053740787
जाल,607,0.00013254826329020164
जेल,10578,0.0023098773131528054
दूध,905,0.00019762138101751646
छपी,494,0.00010787288643387086
के.,744,0.00016246442815141685
आए.,2769,0.0006046559160635393
साफ,9136,0.0019949933005260004
फूड,607,0.00013254826329020164
लैब,404,8.82199314155543e-05
घुन,1,2.1836616687018392e-07
अरब,1664,0.0003633613016719861
तेल,2617,0.0005714642586992714
छठा,195,4.258140253968587e-05
हित,806,0.00017600313049736824
दशक,1747,0.0003814856935222113
चीन,9102,0.001987568850852414
जोर,2320,0.0005066095071388267
लाभ,2056,0.00044896083908509815
याद,3788,0.0008271710401042567
भीम,523,0.0001142055052731062
आई.,1680,0.000366855160341909
आधा,914,0.0001995866765193481
ली.,3956,0.0008638565561384477
देर,5664,0.0012368259691527218
लगे,6004,0.0013110704658885843
शिव,945,0.00020635602769232382
सजा,6620,0.0014455840246806176
केस,12226,0.0026697447561548687
कैद,1395,0.0003046208027839066
बरी,659,0.00014390330396745122
काट,1763,0.0003849795521921343
तथा,2992,0.0006533515712755903
लाल,3137,0.000685014665471767
शरण,433,9.455255025478965e-05
असम,2760,0.0006026906205617076
तहत,10088,0.0022028778913864154
बंद,10141,0.0022144512982305354
शेख,933,0.0002037356336898816
लाश,2969,0.0006483291494375761
ढाई,797,0.0001740378349955366
सोई,10,2.1836616687018395e-06
हवस,615,0.00013429519262516312
नदी,1463,0.0003194697021310791
ईंट,158,3.450185436548906e-05
लाख,13754,0.0030034082591325097
होम,1564,0.0003415246849849677
लोन,1317,0.0002875882417680322
