ending,frequency,probability
गताः,1,0.0006485084306095979
विहायसा,1,0.0006485084306095979
दुरासदाः,1,0.0006485084306095979
भृशं,1,0.0006485084306095979
तमः,1,0.0006485084306095979
महागिरिः,1,0.0006485084306095979
धरणीधरः,2,0.0012970168612191958
महाकपिः,6,0.0038910505836575876
कपिः,3,0.0019455252918287938
वरः,2,0.0012970168612191958
पुरः,2,0.0012970168612191958
वलाहकः,1,0.0006485084306095979
वर,1,0.0006485084306095979
सीदति,1,0.0006485084306095979
हरिः,2,0.0012970168612191958
समुपागतः,1,0.0006485084306095979
हरियूथपः,4,0.0025940337224383916
परैः,1,0.0006485084306095979
निवेशने,1,0.0006485084306095979
भूतपतेरिव,1,0.0006485084306095979
वृषः,1,0.0006485084306095979
शारिका,1,0.0006485084306095979
पशुपतेरिव,1,0.0006485084306095979
वानरः,2,0.0012970168612191958
नरवानराः,1,0.0006485084306095979
कारणैरुपपादिभिः,1,0.0006485084306095979
निपतितामिव,2,0.0012970168612191958
सकलुषामिव,1,0.0006485084306095979
गजवधूमिव,1,0.0006485084306095979
लतामकुसुमामिव,1,0.0006485084306095979
सुरासुराः,1,0.0006485084306095979
जानकि,1,0.0006485084306095979
जातया,1,0.0006485084306095979
चर,1,0.0006485084306095979
शरैः,1,0.0006485084306095979
शोभना,1,0.0006485084306095979
रावणचोदिताः,1,0.0006485084306095979
मैथिलि,2,0.0012970168612191958
गतायुषा,1,0.0006485084306095979
कामरूपिणा,1,0.0006485084306095979
वनगोचरौ,1,0.0006485084306095979
महोदधेः,2,0.0012970168612191958
सीताभिभाषणे,1,0.0006485084306095979
समादधे,1,0.0006485084306095979
मता,1,0.0006485084306095979
रयः,1,0.0006485084306095979
भोगिना,1,0.0006485084306095979
समः,1,0.0006485084306095979
मारुतिः,2,0.0012970168612191958
निषूदनः,1,0.0006485084306095979
बलैः,1,0.0006485084306095979
निपातिताः,1,0.0006485084306095979
रावणालये,1,0.0006485084306095979
वानरोऽहमिहागतः,1,0.0006485084306095979
जनः,1,0.0006485084306095979
विनाशमुपानय,1,0.0006485084306095979
निशाचराः,1,0.0006485084306095979
कृता,1,0.0006485084306095979
परिणीयते,1,0.0006485084306095979
हनूमतः,5,0.00324254215304799
कपेः,1,0.0006485084306095979
पतौ,1,0.0006485084306095979
इति,1,0.0006485084306095979
लोकविनाशनः,1,0.0006485084306095979
महाहयः,1,0.0006485084306095979
धराधरः,1,0.0006485084306095979
पादपाकुले,1,0.0006485084306095979
महोदधौ,1,0.0006485084306095979
तु,1,0.0006485084306095979
वानर,1,0.0006485084306095979
पुरी,2,0.0012970168612191958
वः,1,0.0006485084306095979
पिहितलोचना,1,0.0006485084306095979
जानुभिराहताः,1,0.0006485084306095979
कथयतामिव,1,0.0006485084306095979
वशमागता,1,0.0006485084306095979
शोकवेगसमाहता,1,0.0006485084306095979
