word,frequency
फोटो,399
क्लिक,36
प्रोड्यूसर्स,22
नाराज,190
सीन,146
गंभीरता,74
पुजारी,32
दिव्यांग,11
युवती,222
हवस,45
शिकार,215
धमतरी,9
बलात्कार,324
सनसनीखेज,159
वारदात,487
अंजाम,419
जान,423
तहरीर,104
पुलिस,6297
दर्ज,1644
शहर,364
कोतवाली,39
थाना,314
राम,635
निवास,31
रमाशंकर,3
वैष्णव,7
रेप,661
तारीख,220
शाम,456
कंप्यूटर,75
क्लास,102
वापस,455
उसी,375
मां,648
चली,168
गई.,1540
दरवाजा,62
बंद,726
दिया.,1743
डर,221
कारण,765
बेहोश,40
जब,2498
होश,69
तब,745
उसने,1069
चुप,54
परिजनों,321
थान,1
मामला,1074
गिरफतार,1
मामले,2837
मुरैना,6
अदालत,430
नाबालिग,277
बालिका,70
अपहरण,114
बंधक,89
जुर्म,70
वर्षीय,338
शख्स,415
आजीवन,27
कारावास,35
सजा,502
सुनाई,148
अंबाह,1
तहसील,27
अपर,34
सत्र,243
न्यायाधीश,83
धर्मेंद्र,45
टाडा,7
पोरसा,1
रवि,75
जाटव,9
अगवा,103
अभियुक्त,14
किशोरी,28
आगरा,69
पुणे,103
बनाकर,178
जून,329
कब्जे,154
उच्चायुक्त,7
मुल्क,68
दाऊद,138
इब्राहिम,80
छुपाया,4
अंडरवर्ल्ड,47
छोटा,115
राजन,91
माफिया,61
सरगना,62
कसने,24
वहीं,1335
सब,494
अब्दुल,77
बासित,11
जोर,159
थिंक,10
टैंक,28
बेंगलुरु,46
इंटरनेशनल,126
सेंटर,160
तक्षशिला,1
इंस्टीट्यूट,52
आयोजित,224
आपकी,249
पते,16
ठिकाने,66
पुख्ता,41
दाउद,15
रुख,135
परमार्थ,5
संस्था,80
उचित,54
पाया,284
रोक,350
लगायी,1
रखते,173
हिंसा,431
समाप्त,69
जिम्मेदारी,217
कंधों,13
वर्षों,122
हाथों,150
झेलने,12
थकान,28
सी,181
वास्तव,35
ईमानदारी,34
आपसी,57
हित,56
आधारित,158
संप्रभु,7
राष्ट्र,160
नाते,45
छोटेपन,1
व्यवहार,60
संबंध,392
हों,79
समय,1589
अनुकूल,23
माहौल,187
लोकतंत्र,102
वजूद,13
बना,805
मुख्य,435
विवाद,520
देशों,439
दूसरे,848
साधक,5
बदलना,18
सिविल,82
सोसाइटी,42
दिशा,164
योगदान,84
पेचीदा,9
मुद्दे,443
स्वीकार्य,8
समाधान,80
पहुंचने,167
सकते,1157
मामलों,270
बहुसंख्यक,13
अफगानिस्तान,136
चाहता,281
क्योंकि,960
काबुल,18
बेहद,488
महत्वपूर्ण,197
राजधानी,407
कारोबार,141
दक्षेस,1
डालने,92
वकालत,28
शिखर,56
बैठक,743
टैटू,36
दिखा,127
फिल्म,4273
फेस्टिवल,34
ग्लैमरस,13
छाए,16
बेहतरीन,118
फीचर,93
फिल्मों,367
स्क्रीनिंग,28
रेड,96
कारपेट,9
खूबसूरत,72
हसीनाएं,2
जलवा,12
बिखेरती,3
जादू,33
छाया,18
रहा.,283
ग्रीन,39
कलर,57
फ्लोर,53
लेंथ,6
गाउन,11
ग्रीक,4
ड्रेस,86
मैंचिंग,1
मेकअप,37
बन,651
सुबह,669
सोश,1
मीडियर,1
वायरल,391
पिंक,31
पहनी,26
येलो,7
गजब,19
सुंदर,28
चुकी,727
कार्पेट,6
फैशनेबल,6
दिखा.,21
डार्क,6
नेट,30
जंच,1
एक्सेसरीज,4
मेल,67
चुने,71
पेरिस,73
अंबेसेडर,1
ऐश्वर्या,124
राय,324
सोनम,147
कलाकार,84
जूलियन,1
लोंगोरिया,1
शिरकत,85
करेंगी.,78
अपीयरेंस,10
सबसे,1556
फ्रेंच,21
रिवीरा,1
गईं.,126
तस्वीरें,208
जहां,1273
पहना,23
इंस्टाग्राम,195
फैनपेज,1
सारी,177
कपूर,856
चलेंगी.,1
स्पोक्सपर्सन,5
पहली,849
तस्वीर,547
शेयर,766
फैन्स,143
देखने,487
एक्साइटिड,1
माना,417
प्रदर्शित,10
बीस,19
पार्टनर,65
लंबी,108
पार्टनरशिप,4
जश्न,67
मनाएगा.,3
रिवेरा,2
प्रतिष्ठित,28
अंबेसेसडर,1
होकर,350
चलेगा.,47
सालगिरह,16
ओपन,50
एयर,117
सिनेमा,76
गांधी,1122
रक्षाकवच,1
शरद,148
नरेंद्र,794
पवार,84
बोला.,48
बचाव,125
बलिदान,17
कभी,608
सोनिया,228
विदेशी,188
मूल,111
मुद्दा,226
ढाल,8
बनकर,118
आए,799
हमलों,118
राष्ट्रवादी,20
केंद्रीय,533
करारा,24
राहुल,896
कैसे,448
नुकसान,273
पहुंचाया,57
महाराष्ट्र,423
सतारा,6
भाषण,158
कही,230
जिन्होंने,206
ब्रिटिश,74
जेलों,27
आजादी,129
आजाद,119
जवाहरलाल,33
नेहरू,84
इंदिरा,66
सत्ता,332
उपयोग,66
हत्या,1459
बावजूद,354
चिंता,187
नही,92
राजीव,125
पूरे,763
आधुनिकता,6
विचार,248
प्रतिष्ठा,8
त्याग,16
जनता,815
अभिमान,1
होना,452
कहते,534
भाषणों,13
निशाने,96
जिक्र,196
रैलियों,25
शासन,117
तुलना,139
विधानसभा,869
जुबानी,15
जंग,161
हनीप्रीत,89
रहीम,227
रंगे,21
पति,469
गुप्ता,159
खुलासे,110
किए.,150
अवैध,203
रिश्ता,94
कतई,19
बाबा,321
कमरे,160
आपत्तिजनक,74
हालत,350
गुफा,23
रहता,244
बैठा,72
ताकतवर,40
मेरी,329
खतरा,190
पीसी,9
मुंह,117
रखने,411
मुझे,1023
मुझ,27
डेरे,59
लेती,59
संपत्ति,208
जबरन,84
छीन,38
ली.,303
करवाई,44
तलाक,88
लेना,203
झेल,42
वर्ल्ड,190
कप,153
दावेदारी,22
मार्च,403
क्रिकेट,235
प्रतिबंध,113
टेंपरिंग,1
उपकप्तान,2
डेविड,40
आईसीसी,50
खेलने,102
दम,139
इंग्लैंड,75
खेला,60
लिहाज,98
एनटी,3
स्ट्राइक,70
लीग,31
सिटी,100
साइक्लोंस,1
खेल,279
पदार्पण,5
गेंदों,26
रन,150
बनाए.,24
क्रिकइन्फो,1
जानता,54
ब्रेक,47
फायदा,278
खोते,3
पैट,2
जोश,24
हेजलवुड,1
गेंदबाजों,18
खेलता,8
सवश्रेष्ठ,1
मानता,49
ट्रेनिंग,132
इन्हें,151
वापसी,171
शीर्ष,120
स्तर,357
मौके,620
मिलेंगे.,43
बाएं,4
बल्लेबाज,52
अभ्यास,26
मैच,304
आईपीएल,46
खेलूंगा.,2
जिनसे,30
ट्विंकल,7
खन्ना,85
गिफ्ट,47
प्याज,32
स्टार,226
अपकमिंग,46
गुडन्यूज,5
प्रमोशन,103
द,205
कपिल,369
शर्मा,503
शो,889
एंट्री,153
लेंगे.,94
शूट,118
लौटे,44
पसंद,389
आया.,155
ईयररिंग्स,3
करीना,211
ईयरिरंग्स,1
इंप्रेस,17
तुम,104
करोगी.,1
तुम्हारे,28
चीजें,151
आपका,160
छू,31
ईयररिंग,1
दाम,99
विषय,131
जगह,703
करें,410
कियारा,26
आडवाणी,80
दिलजीत,19
दोसांझ,13
किरदारों,21
दिसम्बर,17
रिलीज,869
करण,263
जौहर,160
प्रोडक्शन,95
बनी,380
गुड,38
न्यूज,115
ट्रेलर,232
सनी,102
लियोनी,12
पहनेंगी,2
बिकिनी,9
कैरेक्टर,47
तैयारियां,28
ख्याल,67
मेहनत,132
फिट,58
दिखने,67
कसरत,5
झटका,96
पहुंचकर,65
स्टाइलिस्ट,3
वार्डरोब,2
होंगी.,87
रोने,28
पसंदीदा,23
पिज्जा,15
त्यागना,2
यही,579
सोचकर,9
हैरत,21
थीं,178
कैसी,42
तुषार,23
मनाया.,16
डाइट,29
परखने,3
होटल,229
दरवाजे,54
स्लाइस,3
मिलाप,7
बताते,332
रंग,225
लाई,32
उसमें,238
पहलवान,17
खली,5
मूर्ख,9
मत,82
बनाओ,1
रेसलर,17
ग्रेट,9
गंभीर,418
नकली,22
फाइट,21
रियल,59
चुनौती,230
कृष्ण,77
बेवकूफ,9
बनाना,116
कुश्ती,10
बहका,4
खुली,47
देता,247
असली,111
चाहे,141
ना,590
ओलंपिक,60
रेसलिंग,9
वर्ग,157
किलोग्राम,20
कैटेगरी,23
ऊपर,263
रक्षाबंधन,17
रात्रि,6
पवित्र,20
पर्व,38
मनाया,52
जानते,225
महत्व,37
होता,1026
आइए,80
उपाय,60
क्यों...,1
श्रावण,5
पूर्णिमा,5
तिथि,20
चंद्रमा,8
संपूर्ण,7
अमृत,10
वर्षा,11
होती,764
प्रेम,137
तीनों,258
देती,181
विशेष,316
प्रयोग,111
अपार,6
सारा,178
प्रयोगों,4
सावधानियों,1
नियमों,67
आवश्यकता,41
पूर्ण,114
जल,131
फल,30
ग्रहण,87
उपवास,15
प्रयास,228
रखें,40
सात्विक,2
आहार,15
शरीर,241
शुद्ध,16
खाली,143
प्राप्ति,12
काले,84
चमकदार,5
सफेद,74
वस्त्र,6
धारण,19
अच्छा,414
रात्री,3
स्नान,32
दूध,64
घी,15
खीर,6
बनाएं.,5
अर्पित,27
विधिवत,3
पूजा,188
उदित,3
चंद्रदेव,1
उपासना,10
मंत्र,40
सोम,12
सोमाय,1
जाप,29
शिव,68
प्रसाद,350
संयुक्त,204
गुलाब,25
फूलों,27
माला,28
अर्घ्य,5
दें.,144
निम्न,10
राधावल्लभाय,1
मधुराष्टक,1
पाठ,21
मनचाहे,3
पाने,171
प्रार्थना,32
सुरक्षित,178
रखें.,55
लक्ष्मी,43
समक्ष,48
दीपक,125
जलाएं.,3
मिठाई,30
इत्र,3
ह्रीं,1
श्रीं,2
कमले,1
कमलालये,1
प्रसीद,2
महालक्ष्मये,1
रोज,151
प्रातः,4
लगाएं.,29
अभाव,17
अनुष्का,130
होम,121
रणवीर,232
बैंड,37
बाजा,2
बारात,45
धूम,30
हवाओं,30
लीड,114
पेअर,1
रोमांस,29
चर्चे,13
ब्रेकअप,53
जोया,19
एनएच,2
