word,frequency,probability
मैथिलीं,29,0.000815775408590959
मातरं,28,0.0007876452220878224
वीरो,28,0.0007876452220878224
मैथिली,28,0.0007876452220878224
सततं,28,0.0007876452220878224
दुःखेन,27,0.0007595150355846859
भरत,27,0.0007595150355846859
परुषं,27,0.0007595150355846859
शोकेन,27,0.0007595150355846859
नः,27,0.0007595150355846859
विविधानि,27,0.0007595150355846859
अथवा,27,0.0007595150355846859
सीताया,27,0.0007595150355846859
तया,26,0.0007313848490815494
करुणं,26,0.0007313848490815494
केन,26,0.0007313848490815494
दिशं,26,0.0007313848490815494
कुशलं,26,0.0007313848490815494
हृदयं,26,0.0007313848490815494
शोकं,26,0.0007313848490815494
यः,25,0.0007032546625784129
अहो,25,0.0007032546625784129
भुवि,25,0.0007032546625784129
गतो,25,0.0007032546625784129
पुरी,25,0.0007032546625784129
पपात,25,0.0007032546625784129
किल,25,0.0007032546625784129
जानामि,25,0.0007032546625784129
इह,25,0.0007032546625784129
राघवः,24,0.0006751244760752764
वीरः,24,0.0006751244760752764
वनानि,23,0.0006469942895721398
नदीं,23,0.0006469942895721398
महाराज,23,0.0006469942895721398
गतिं,23,0.0006469942895721398
शिरसा,23,0.0006469942895721398
भूयो,23,0.0006469942895721398
पथि,23,0.0006469942895721398
देव,22,0.0006188641030690033
तासां,22,0.0006188641030690033
गृहं,22,0.0006188641030690033
दश,22,0.0006188641030690033
जनपदे,22,0.0006188641030690033
पादौ,22,0.0006188641030690033
इयं,22,0.0006188641030690033
वचो,22,0.0006188641030690033
कैकेयि,22,0.0006188641030690033
हितं,22,0.0006188641030690033
नाराजके,21,0.0005907339165658668
वरं,21,0.0005907339165658668
कृते,21,0.0005907339165658668
रथं,21,0.0005907339165658668
पतितं,21,0.0005907339165658668
तमुवाच,21,0.0005907339165658668
भृशं,21,0.0005907339165658668
दीना,21,0.0005907339165658668
वालिनं,21,0.0005907339165658668
नाहं,21,0.0005907339165658668
बहुधा,20,0.0005626037300627303
महाबाहुः,20,0.0005626037300627303
कृता,20,0.0005626037300627303
भूतानां,20,0.0005626037300627303
भूतानि,20,0.0005626037300627303
कैकेयीं,20,0.0005626037300627303
पुनरेव,20,0.0005626037300627303
बहवो,20,0.0005626037300627303
भवता,20,0.0005626037300627303
देवीं,20,0.0005626037300627303
सदृशं,20,0.0005626037300627303
चिरं,20,0.0005626037300627303
फलानि,20,0.0005626037300627303
चरणौ,20,0.0005626037300627303
हरयो,20,0.0005626037300627303
भवनं,19,0.0005344735435595938
वचः,19,0.0005344735435595938
वनेषु,19,0.0005344735435595938
हृता,19,0.0005344735435595938
दिशो,19,0.0005344735435595938
यं,19,0.0005344735435595938
एते,19,0.0005344735435595938
जानकी,18,0.0005063433570564572
इमे,18,0.0005063433570564572
नगरी,18,0.0005063433570564572
ता,18,0.0005063433570564572
बाहू,18,0.0005063433570564572
कुले,18,0.0005063433570564572
सेना,18,0.0005063433570564572
कालं,18,0.0005063433570564572
निहतं,18,0.0005063433570564572
रूपेण,18,0.0005063433570564572
शरणं,18,0.0005063433570564572
भवतु,18,0.0005063433570564572
लेभे,18,0.0005063433570564572
भरतेन,18,0.0005063433570564572
उवाच,17,0.00047821317055332077
का,17,0.00047821317055332077
तारा,17,0.00047821317055332077
इमां,17,0.00047821317055332077
इतीव,17,0.00047821317055332077
दीनं,17,0.00047821317055332077
महीं,17,0.00047821317055332077
गता,17,0.00047821317055332077
वो,17,0.00047821317055332077
रजनीं,17,0.00047821317055332077
दशरथं,17,0.00047821317055332077
मनो,17,0.00047821317055332077
वधं,17,0.00047821317055332077
भूयः,17,0.00047821317055332077
सागरं,17,0.00047821317055332077
तेषु,17,0.00047821317055332077
कालो,16,0.00045008298405018425
दिवं,16,0.00045008298405018425
सतां,16,0.00045008298405018425
वसति,16,0.00045008298405018425
रामेति,16,0.00045008298405018425
देशे,16,0.00045008298405018425
दीनां,16,0.00045008298405018425
तदिदं,16,0.00045008298405018425
पूजां,16,0.00045008298405018425
ययौ,16,0.00045008298405018425
नापि,16,0.00045008298405018425
धनं,16,0.00045008298405018425
तथेति,15,0.00042195279754704773
शुभं,15,0.00042195279754704773
लोकानां,15,0.00042195279754704773
जहि,15,0.00042195279754704773
नेह,15,0.00042195279754704773
पारं,15,0.00042195279754704773
वानरा,15,0.00042195279754704773
महाबाहुं,15,0.00042195279754704773
शतं,15,0.00042195279754704773
कालेन,15,0.00042195279754704773
पृथिवी,15,0.00042195279754704773
तावुभौ,15,0.00042195279754704773
बत,15,0.00042195279754704773
भरते,15,0.00042195279754704773
ह,15,0.00042195279754704773
शंस,15,0.00042195279754704773
एषा,15,0.00042195279754704773
शुशुभे,15,0.00042195279754704773
वानरं,15,0.00042195279754704773
महातेजाः,15,0.00042195279754704773
कुरुते,15,0.00042195279754704773
विललाप,14,0.0003938226110439112
यां,14,0.0003938226110439112
