digram,frequency,probability
हध,6,1.3765098592518668e-05
डव,24,5.5060394370074674e-05
ढे,6,1.3765098592518668e-05
सघ,5,1.1470915493765558e-05
घश,10,2.2941830987531115e-05
जड,4,9.176732395012447e-06
डी,13,2.9824380283790448e-05
कः,123,0.00028218452114663273
दः,116,0.00026612523945536095
गफ,4,9.176732395012447e-06
थद,4,9.176732395012447e-06
ढभ,3,6.882549296259334e-06
थध,8,1.8353464790024894e-05
खत,21,4.817784507381534e-05
सः,265,0.0006079585211695745
गः,70,0.0001605928169127178
पः,168,0.0003854227605905227
चः,124,0.0002844787042453858
छच,3,6.882549296259334e-06
धः,79,0.00018124046480149581
भष,1,2.2941830987531117e-06
छृ,10,2.2941830987531115e-05
