word,frequency,probability
बारे,219,0.001117980080555825
यहां,216,0.0011026652849317727
ऐसे,215,0.0010975603530570884
रुपये,215,0.0010975603530570884
काफी,214,0.0010924554211824043
या,214,0.0010924554211824043
उस,213,0.0010873504893077202
वजह,213,0.0010873504893077202
किए,211,0.001077140625558352
सबसे,210,0.0010720356936836678
वे,210,0.0010720356936836678
नजर,208,0.0010618258299342996
आरोपी,208,0.0010618258299342996
इससे,204,0.001041406102435563
आरोप,203,0.001036301170560879
वहीं,202,0.0010311962386861948
भारतीय,198,0.0010107765111874582
सकता,196,0.00100056664743809
टीम,194,0.0009903567836887217
न,194,0.0009903567836887217
बता,193,0.0009852518518140376
जाता,191,0.0009750419880646693
मौत,191,0.0009750419880646693
करना,191,0.0009750419880646693
अगर,188,0.0009597271924406169
खान,186,0.0009495173286912486
नेता,185,0.0009444123968165645
हालांकि,184,0.0009393074649418804
इसी,180,0.0009188877374431438
ओर,180,0.0009188877374431438
अपना,179,0.0009137828055684597
ऐसा,177,0.0009035729418190914
महिला,177,0.0009035729418190914
थी,175,0.0008933630780697232
बहुत,174,0.000888258146195039
जारी,171,0.0008729433505709867
तीन,171,0.0008729433505709867
परिवार,170,0.0008678384186963025
मुताबिक,169,0.0008627334868216184
अलावा,169,0.0008627334868216184
होता,168,0.0008576285549469343
उसकी,168,0.0008576285549469343
हम,168,0.0008576285549469343
उनका,167,0.0008525236230722501
शादी,167,0.0008525236230722501
आतंकी,166,0.0008474186911975659
मांग,165,0.0008423137593228818
पिछले,164,0.0008372088274481977
जानकारी,164,0.0008372088274481977
घटना,162,0.0008269989636988294
कम,162,0.0008269989636988294
वहां,162,0.0008269989636988294
करीब,161,0.0008218940318241453
इंडिया,160,0.0008167890999494612
आज,159,0.0008116841680747771
हमले,159,0.0008116841680747771
अभी,159,0.0008116841680747771
सकते,159,0.0008116841680747771
कहना,159,0.0008116841680747771
पीएम,157,0.0008014743043254088
सकती,156,0.0007963693724507247
लाख,152,0.0007759496449519881
मीडिया,151,0.0007708447130773039
रूप,150,0.0007657397812026198
गांधी,150,0.0007657397812026198
आपको,149,0.0007606348493279357
पूरी,148,0.0007555299174532516
मामला,148,0.0007555299174532516
थे,148,0.0007555299174532516
यादव,147,0.0007504249855785674
आने,147,0.0007504249855785674
दें,145,0.0007402151218291992
मां,145,0.0007402151218291992
जहां,144,0.0007351101899545151
जबकि,143,0.0007300052580798309
विरोध,143,0.0007300052580798309
दूसरे,142,0.0007249003262051468
दे,142,0.0007249003262051468
इसमें,140,0.0007146904624557786
कुमार,140,0.0007146904624557786
हर,140,0.0007146904624557786
पिता,139,0.0007095855305810943
चल,139,0.0007095855305810943
पता,137,0.0006993756668317261
तरफ,136,0.000694270734957042
लगा,136,0.000694270734957042
कारण,135,0.0006891658030823578
दिनों,134,0.0006840608712076737
बयान,134,0.0006840608712076737
इलाके,134,0.0006840608712076737
कोशिश,133,0.0006789559393329896
वीडियो,132,0.0006738510074583055
मदद,132,0.0006738510074583055
रहने,132,0.0006738510074583055
रिलीज,131,0.0006687460755836213
उसने,130,0.0006636411437089372
इसे,127,0.0006483263480848848
केस,127,0.0006483263480848848
गांव,126,0.0006432214162102007
इसलिए,126,0.0006432214162102007
मुझे,126,0.0006432214162102007
सवाल,126,0.0006432214162102007
खुद,126,0.0006432214162102007
शेयर,126,0.0006432214162102007
जिसमें,125,0.0006381164843355166
पूरे,125,0.0006381164843355166
मुंबई,125,0.0006381164843355166
विधानसभा,124,0.0006330115524608325
आगे,124,0.0006330115524608325
पहली,123,0.0006279066205861482
बिहार,122,0.0006228016887114641
आए,120,0.0006125918249620959
ले,120,0.0006125918249620959
ना,119,0.0006074868930874117
तौर,118,0.0006023819612127276
इसकी,117,0.0005972770293380435
तब,116,0.0005921720974633594
बनाने,116,0.0005921720974633594
जैसे,115,0.0005870671655886752
दूसरी,113,0.000576857301839307
फैसला,113,0.000576857301839307
सेना,113,0.000576857301839307
अमेरिका,113,0.000576857301839307
लगातार,112,0.0005717523699646229
सुनवाई,112,0.0005717523699646229
बंद,112,0.0005717523699646229
तहत,112,0.0005717523699646229
विधायक,111,0.0005666474380899387
रात,111,0.0005666474380899387
दिए,109,0.0005564375743405704
कंपनी,108,0.0005513326424658863
आया,108,0.0005513326424658863
करता,108,0.0005513326424658863
महीने,108,0.0005513326424658863
होती,107,0.0005462277105912021
इसका,106,0.000541122778716518
कभी,105,0.0005360178468418339
यूपी,105,0.0005360178468418339
चार,105,0.0005360178468418339
बना,105,0.0005360178468418339
राम,104,0.0005309129149671498
वाला,103,0.0005258079830924656
रेप,103,0.0005258079830924656
जवाब,103,0.0005258079830924656
करके,102,0.0005207030512177815
हाल,102,0.0005207030512177815
आई,102,0.0005207030512177815
खबर,102,0.0005207030512177815
जिस,102,0.0005207030512177815
फीसदी,101,0.0005155981193430974
जिले,100,0.0005104931874684132
मिल,100,0.0005104931874684132
चुके,100,0.0005104931874684132
बाहर,100,0.0005104931874684132
साफ,99,0.0005053882555937291
फोन,99,0.0005053882555937291
चुकी,98,0.000500283323719045
करती,97,0.0004951783918443609
रन,97,0.0004951783918443609
जरिए,96,0.0004900734599696767
रखा,96,0.0004900734599696767
मंदिर,96,0.0004900734599696767
