word,frequency,probability
जाएगा.,12320,0.0005284707390856
बाहर,12231,0.0005246530527399
केस,12226,0.0005244385759789
विधानसभा,12149,0.0005211356338596
पहली,12004,0.0005149158077909
द्वारा,11957,0.0005128997262375
रिपोर्ट,11953,0.0005127281448287
हमले,11911,0.0005109265400364
आगे,11896,0.0005102831097534
मांग,11887,0.0005098970515836
रहने,11821,0.0005070659583385
रात,11807,0.0005064654234077
इलाके,11778,0.000505221458194
थे,11742,0.0005036772255148
कपूर,11737,0.0005034627487539
आई,11712,0.0005023903649489
चाहिए.,11654,0.0004999024345214
वक्त,11628,0.0004987871553642
दिए,11569,0.0004962563295845
तौर,11434,0.0004904654570377
जिले,11387,0.0004884493754844
जनता,11358,0.0004872054102706
लोकसभा,11338,0.0004863475032266
फैसला,11320,0.0004855753868871
रिलीज,11301,0.0004847603751953
शो,11274,0.0004836022006859
इसलिए,11274,0.0004836022006859
दूसरे,11255,0.0004827871889942
केजरीवाल,11189,0.0004799560957491
बनाने,11175,0.0004793555608183
करता,11157,0.0004785834444787
जैसे,11156,0.0004785405491265
नरेंद्र,11098,0.000476052618699
अन्य,11094,0.0004758810372902
जवाब,11076,0.0004751089209506
महीने,10984,0.0004711625485484
गांव,10955,0.0004699185833346
बना,10950,0.0004697041065736
हाल,10844,0.0004651571992406
केंद्र,10764,0.0004617255710647
शेयर,10757,0.0004614253035993
वाला,10747,0.0004609963500773
आए,10683,0.0004582510475366
सलमान,10658,0.0004571786637317
चार,10586,0.0004540901983734
जेल,10578,0.0004537470355558
यूपी,10573,0.0004535325587948
मिल,10563,0.0004531036052728
जिसके,10531,0.0004517309540024
चुके,10527,0.0004515593725937
मुंबई,10523,0.0004513877911849
होती,10483,0.0004496719770969
विरोध,10480,0.0004495432910403
तरफ,10473,0.0004492430235749
होगी.,10394,0.0004458542907513
कारण,10393,0.0004458113953991
इसकी,10359,0.0004443529534243
आया,10357,0.0004442671627199
पूरे,10339,0.0004434950463803
आम,10299,0.0004417792322924
सेना,10279,0.0004409213252484
लगातार,10184,0.0004368462667896
बंद,10141,0.000435001766645
उन,10120,0.0004341009642489
अस्पताल,10093,0.0004329427897395
तहत,10088,0.0004327283129785
सोशल,10079,0.0004323422548087
तब,10061,0.0004315701384691
दुनिया,10026,0.0004300688011422
बैठक,9993,0.0004286532545197
शाह,9956,0.0004270661264883
मदद,9884,0.00042397766113
बैंक,9868,0.0004232913354948
कंपनी,9820,0.0004212323585893
नए,9782,0.0004196023352058
सीट,9769,0.0004190446956272
क्षेत्र,9722,0.0004170286140739
पत्नी,9628,0.0004129964509672
इसका,9592,0.000411452218288
चुकी,9576,0.0004107658926529
करती,9417,0.0004039455316533
मिलने,9413,0.0004037739502445
जरिए,9393,0.0004029160432005
कानून,9391,0.0004028302524961
जिस,9356,0.0004013289151692
जगह,9336,0.0004004710081252
मिली,9323,0.0003999133685466
दूसरी,9227,0.0003957954147356
करके,9195,0.0003944227634652
मां,9190,0.0003942082867042
सुप्रीम,9152,0.0003925782633207
साफ,9136,0.0003918919376855
देते,9126,0.0003914629841635
जाती,9112,0.0003908624492328
चीन,9102,0.0003904334957108
कार्रवाई,9100,0.0003903477050064
पूरा,9071,0.0003891037397926
लगाया,9066,0.0003888892630316
नेताओं,9059,0.0003885889955662
तैयार,8993,0.0003857579023211
खबर,8980,0.0003852002627426
उसका,8904,0.0003819402159755
सुबह,8897,0.0003816399485101
ऐसी,8857,0.0003799241344221
ट्वीट,8847,0.0003794951809002
इस्तेमाल,8798,0.0003773933086424
अमेरिका,8782,0.0003767069830073
चर्चा,8737,0.0003747766921583
बन,8733,0.0003746051107495
लिया.,8715,0.00037383299441
मौके,8704,0.0003733611455358
हमला,8693,0.0003728892966616
मौजूद,8677,0.0003722029710264
शिकायत,8671,0.0003719455989132
सांसद,8670,0.000371902703561
विधायक,8629,0.0003701439941209
बजे,8621,0.0003698008313033
राम,8602,0.0003689858196115
पिता,8573,0.0003677418543978
महिलाओं,8490,0.0003641815401653
कभी,8481,0.0003637954819955
कश्मीर,8465,0.0003631091563603
इंडिया,8407,0.0003606212259328
लेने,8389,0.0003598491095932
अलग,8373,0.0003591627839581
जीत,8340,0.0003577472373355
चलते,8293,0.0003557311557822
पांच,8263,0.0003544442952162
सोमवार,8256,0.0003541440277508
खास,8255,0.0003541011323986
बल्कि,8243,0.0003535863881723
बातचीत,8200,0.0003517418880277
वोट,8186,0.0003511413530969
दावा,8021,0.0003440636199842
ना,7971,0.0003419188523743
अमित,7916,0.0003395596080033
मेरे,7903,0.0003390019684248
राष्ट्रपति,7885,0.0003382298520852
फोन,7866,0.0003374148403934
अधिकारी,7826,0.0003356990263055
हाथ,7823,0.0003355703402489
गुजरात,7817,0.0003353129681357
यही,7809,0.0003349698053181
नई,7749,0.0003323960841862
हजार,7735,0.0003317955492554
राष्ट्रीय,7726,0.0003314094910856
ली,7659,0.0003285355024883
रेप,7657,0.0003284497117839
कोरोना,7649,0.0003281065489663
क्यों,7632,0.000327377327979
रखा,7622,0.000326948374457
प्रमुख,7543,0.0003235596416333
बुधवार,7534,0.0003231735834635
चाहते,7533,0.0003231306881113
गोली,7504,0.0003218867228976
करेंगे.,7501,0.000321758036841
केंद्रीय,7492,0.0003213719786712
पीछे,7480,0.0003208572344448
बच्चों,7466,0.000320256699514
कहते,7462,0.0003200851181052
पहुंच,7456,0.000319827745992
आतंकियों,7428,0.0003186266761305
तय,7402,0.0003175113969733
हूं.,7384,0.0003167392806337
लिखा,7308,0.0003134792338667
चुका,7296,0.0003129644896403
सीबीआई,7287,0.0003125784314705
पेश,7267,0.0003117205244265
पूछताछ,7263,0.0003115489430177
होगा,7247,0.0003108626173825
आदमी,7218,0.0003096186521688
आधार,7190,0.0003084175823072
जी,7186,0.0003082460008984
हमारे,7180,0.0003079886287852
जल्द,7168,0.0003074738845589
सूत्रों,7150,0.0003067017682193
जाते,7136,0.0003061012332885
आरोपियों,7132,0.0003059296518797
पंजाब,7106,0.0003048143727226
नीतीश,7101,0.0003045998959616
विभाग,7076,0.0003035275121566
थीं.,7060,0.0003028411865214
समर्थन,7060,0.0003028411865214
तस्वीर,7051,0.0003024551283516
कार,7009,0.0003006535235593
आदेश,7009,0.0003006535235593
हुआ.,6976,0.0002992379769367
विकास,6962,0.000298637442006
स्कूल,6946,0.0002979511163708
शुक्रवार,6935,0.0002974792674966
बनाया,6917,0.000296707151157
घायल,6898,0.0002958921394653
प्रदर्शन,6887,0.0002954202905911
खत्म,6873,0.0002948197556603
यानी,6873,0.0002948197556603
मुलाकात,6857,0.0002941334300251
फैसले,6853,0.0002939618486163
लगता,6834,0.0002931468369246
रविवार,6833,0.0002931039415724
मंगलवार,6827,0.0002928465694592
हुई.,6817,0.0002924176159372
वारदात,6809,0.0002920744531196
देखने,6798,0.0002916026042454
होते,6790,0.0002912594414278
हिस्सा,6746,0.0002893720459311
अधिकारियों,6732,0.0002887715110003
विवाद,6731,0.0002887286156481
गुरुवार,6720,0.0002882567667739
सुनवाई,6715,0.0002880422900129
मैंने,6705,0.000287613336491
पद,6700,0.00028739885973
शर्मा,6680,0.000286540952686
सीटों,6673,0.0002862406852206
पानी,6660,0.000285683045642
चला,6639,0.0002847822432459
सजा,6620,0.0002839672315541
सब,6608,0.0002834524873277
संगठन,6589,0.0002826374756359
बेहद,6564,0.000281565091831
बच्चे,6561,0.0002814364057744
अधिक,6549,0.000280921661548
दल,6549,0.000280921661548
हमें,6548,0.0002808787661958
कार्यक्रम,6547,0.0002808358708436
बेटी,6543,0.0002806642894348
वालों,6524,0.000279849277743
रह,6519,0.000279634800982
समेत,6516,0.0002795061149254
फिलहाल,6498,0.0002787339985859
अगले,6449,0.0002766321263281
गौरतलब,6408,0.000274873416888
कुल,6389,0.0002740584051962
भाई,6365,0.0002730289167435
सूचना,6325,0.0002713131026555
देखा,6311,0.0002707125677247
कैसे,6298,0.0002701549281462
कदम,6278,0.0002692970211022
जाएगी.,6253,0.0002682246372972
होना,6229,0.0002671951488445
जाना,6212,0.0002664659278571
