ngram,frequency,probability
ङ्,2285,0.0019313292024582397
 ग,2272,0.0019203413339103372
रे,2262,0.0019118891273350277
ये,2195,0.0018552593432804535
णा,2155,0.0018214505169792151
सर,2137,0.001806236545143658
ीत,2116,0.0017884869113355079
हि,2097,0.0017724277188424196
दि,2088,0.001764820732924641
वन,2087,0.0017639755122671101
्क,2040,0.001724250141363155
रव,2039,0.001723404920705624
िश,2018,0.0017056552868974738
्ग,1995,0.0016862152117742618
ग्,1994,0.001685369991116731
े।,1962,0.0016583229300757402
यम,1962,0.0016583229300757402
रस,1962,0.0016583229300757402
री,1955,0.0016524063854730234
चि,1937,0.0016371924136374663
जा,1926,0.0016278949864046257
नु,1925,0.0016270497657470948
ेव,1920,0.00162282366245944
कृ,1892,0.001599157484048573
ाल,1887,0.0015949313807609184
ेष,1886,0.0015940861601033873
रं,1882,0.0015907052774732635
ुम,1869,0.001579717408925361
्श,1867,0.0015780269676102991
 ज,1864,0.0015754913056377064
दे,1844,0.001558586892487087
व्,1831,0.0015475990239391846
च्,1825,0.0015425276999939989
रो,1804,0.0015247780661858488
यु,1788,0.0015112545356653535
वी,1777,0.001501957108432513
ाण,1758,0.0014858979159394247
यस,1742,0.0014723743854189294
यो,1739,0.0014698387234463365
नं,1720,0.0014537795309532483
 ब,1709,0.0014444821037204077
स ,1678,0.001418280263336948
चा,1670,0.0014115184980767004
ीर,1654,0.0013979949675562051
िद,1646,0.0013912332022959573
सि,1639,0.0013853166576932407
षि,1621,0.0013701026858576834
िक,1618,0.0013675670238850906
ाग,1616,0.0013658765825700287
वं,1614,0.0013641861412549668
िप,1614,0.0013641861412549668
कु,1605,0.0013565791553371881
वत,1600,0.0013523530520495332
भा,1553,0.0013126276811455783
ला,1547,0.0013075563572003926
ने,1540,0.0013016398125976758
ुद,1531,0.0012940328266798971
िम,1520,0.0012847353994470566
ौ ,1515,0.001280509296159402
ैर,1514,0.0012796640755018708
ुष,1502,0.0012695214276114994
म ,1495,0.0012636048830087826
ाह,1487,0.001256843117748535
।स,1481,0.0012517717938033493
ब्,1479,0.0012500813524882874
मम,1471,0.0012433195872280397
शा,1468,0.0012407839252554468
ृष,1466,0.0012390934839403849
यन,1465,0.001238248263282854
वस,1459,0.001233176939337668
ेत,1454,0.0012289508360500134
। ,1448,0.0012238795121048277
धर,1435,0.0012128916435569252
ी ,1434,0.0012120464228993941
गत,1433,0.0012112012022418633
।अ,1433,0.0012112012022418633
कर,1425,0.0012044394369816157
ुक,1414,0.001195142009748775
भ्,1408,0.0011900706858035894
ूर,1402,0.0011849993618584036
नर,1401,0.0011841541412008726
दु,1400,0.0011833089205433417
ि।,1384,0.0011697853900228463
धा,1378,0.0011647140660776606
ह्,1376,0.0011630236247625987
तद,1370,0.001157952300817413
नम,1363,0.0011520357562146962
 ध,1359,0.0011486548735845723
ाभ,1358,0.0011478096529270415
् ,1349,0.0011402026670092628
िय,1347,0.001138512225694201
 ल,1334,0.0011275243571462984
ोऽ,1332,0.0011258339158312365
