ngram,frequency,probability
। स,298,0.0014652807143489335
्ता,294,0.001445612516840894
ष्म,290,0.0014259443193328548
नं ,289,0.0014210272699558448
 पर,287,0.001411193171201825
ं च,284,0.0013964420230707956
स्व,280,0.0013767738255627564
वं ,279,0.0013718567761857464
 वा,276,0.001357105628054717
ाः।,275,0.0013521885786777071
्रव,274,0.0013472715293006972
्यं,273,0.0013423544799236874
न्द,270,0.001327603331792658
 स्,266,0.0013079351342846185
ाम्,264,0.0012981010355305987
ा स,262,0.0012882669367765792
व्य,259,0.0012735157886455495
्ये,257,0.00126368168989153
तः।,256,0.00125876464051452
द्ध,255,0.0012538475911375102
तो ,255,0.0012538475911375102
्यत,251,0.0012341793936294708
 न ,250,0.001229262344252461
ाश्,250,0.001229262344252461
च्छ,250,0.001229262344252461
ं क,246,0.0012095941467444216
ं न,243,0.001194842998613392
ा व,243,0.001194842998613392
 का,242,0.0011899259492363823
न्य,241,0.0011850088998593723
न्न,241,0.0011850088998593723
्तु,239,0.0011751748011053526
ाना,238,0.0011702577517283428
 तत,238,0.0011702577517283428
सर्,236,0.001160423652974323
सीत,236,0.001160423652974323
ृष्,230,0.0011309213567122641
त्म,229,0.0011260043073352544
मान,229,0.0011260043073352544
 पु,229,0.0011260043073352544
्रु,229,0.0011260043073352544
ुक्,228,0.0011210872579582444
ा।।,228,0.0011210872579582444
्यस,226,0.0011112531592042247
तां,224,0.0011014190604502051
्वि,223,0.0010965020110731952
 लक,223,0.0010965020110731952
ं द,222,0.0010915849616961854
्रत,222,0.0010915849616961854
कृत,218,0.001071916764188146
 क्,217,0.0010669997148111362
 मा,216,0.0010620826654341262
त्स,213,0.0010473315173030967
 तु,211,0.001037497418549077
ुत्,211,0.001037497418549077
्यम,211,0.001037497418549077
श्य,210,0.0010325803691720672
ानि,210,0.0010325803691720672
ुद्,209,0.0010276633197950575
 सम,209,0.0010276633197950575
ामि,207,0.0010178292210410377
र्त,207,0.0010178292210410377
 ते,207,0.0010178292210410377
श्श,206,0.0010129121716640278
्ति,206,0.0010129121716640278
ः। ,206,0.0010129121716640278
राज,205,0.001007995122287018
द्य,205,0.001007995122287018
ा र,204,0.0010030780729100082
त्।,204,0.0010030780729100082
द्व,201,0.0009883269247789785
रस्,200,0.0009834098754019688
याम,199,0.000978492826024959
तान,198,0.0009735757766479491
ः क,196,0.0009637416778939294
। अ,196,0.0009637416778939294
धर्,195,0.0009588246285169195
न्।,194,0.0009539075791399097
 स ,194,0.0009539075791399097
ब्र,193,0.0009489905297628999
्। ,193,0.0009489905297628999
्षि,192,0.0009440734803858901
्वं,192,0.0009440734803858901
ुर्,191,0.0009391564310088802
 सु,189,0.0009293223322548605
मस्,189,0.0009293223322548605
तम्,189,0.0009293223322548605
ीं ,188,0.0009244052828778507
तत्,187,0.0009194882335008408
यन्,187,0.0009194882335008408
 ना,187,0.0009194882335008408
नि ,186,0.000914571184123831
ूर्,185,0.0009096541347468211
्तं,185,0.0009096541347468211
 सी,183,0.0008998200359928015
ीता,182,0.0008949029866157916
म्य,182,0.0008949029866157916
्मा,180,0.0008850688878617719
राव,179,0.0008801518384847621
ा त,177,0.0008703177397307424
रिय,176,0.0008654006903537325
िन्,175,0.0008604836409767226
ा म,175,0.0008604836409767226
हि ,173,0.000850649542222703
वर्,173,0.000850649542222703
 सा,173,0.000850649542222703
िर्,173,0.000850649542222703
ैर्,172,0.0008457324928456932
ं श,172,0.0008457324928456932
ृत्,171,0.0008408154434686833
वान,170,0.0008358983940916734
ेण ,170,0.0008358983940916734
विन,170,0.0008358983940916734
ग्र,170,0.0008358983940916734
नः।,170,0.0008358983940916734
े।।,169,0.0008309813447146637
 वै,168,0.0008260642953376538
परि,166,0.0008162301965836341
नाम,165,0.0008113131472066242
र्ष,164,0.0008063960978296144
 सर,164,0.0008063960978296144
र्ण,164,0.0008063960978296144
 हि,163,0.0008014790484526046
 ता,163,0.0008014790484526046
ताम,163,0.0008014790484526046
र्श,162,0.0007965619990755947
ुष्,161,0.0007916449496985848
रक्,159,0.0007818108509445652
भ्र,159,0.0007818108509445652
मं ,158,0.0007768938015675553
मित,158,0.0007768938015675553
कर्,158,0.0007768938015675553
्था,158,0.0007768938015675553
ो र,157,0.0007719767521905455
स्म,156,0.0007670597028135356
यस्,155,0.0007621426534365259
प्त,155,0.0007621426534365259
यां,154,0.000757225604059516
ाम ,154,0.000757225604059516
ि स,154,0.000757225604059516
ाघव,153,0.0007523085546825061
राघ,153,0.0007523085546825061
पि ,152,0.0007473915053054963
दर्,151,0.0007424744559284864
्ते,149,0.0007326403571744668
कार,148,0.0007277233077974569
ि म,146,0.0007178892090434372
ङ्ग,146,0.0007178892090434372
य स,146,0.0007178892090434372
्रस,145,0.0007129721596664274
भ्य,145,0.0007129721596664274
ो व,145,0.0007129721596664274
सा ,144,0.0007080551102894175
्र ,144,0.0007080551102894175
ो म,144,0.0007080551102894175
ङ्क,144,0.0007080551102894175
ा प,143,0.0007031380609124077
ि।।,142,0.0006982210115353978
मि ,141,0.0006933039621583879
ीर्,141,0.0006933039621583879
ये ,140,0.0006883869127813782
क्य,140,0.0006883869127813782
षसा,140,0.0006883869127813782
ं भ,139,0.0006834698634043683
वाक,139,0.0006834698634043683
रात,138,0.0006785528140273585
मृग,138,0.0006785528140273585
 सह,138,0.0006785528140273585
्स्,138,0.0006785528140273585
 दृ,137,0.0006736357646503486
 वन,137,0.0006736357646503486
णं ,137,0.0006736357646503486
विष,137,0.0006736357646503486
्द्,137,0.0006736357646503486
्री,137,0.0006736357646503486
र्थ,137,0.0006736357646503486
 मे,137,0.0006736357646503486
दृष,137,0.0006736357646503486
रूप,136,0.0006687187152733388
। न,136,0.0006687187152733388
यथा,136,0.0006687187152733388
ञ्च,136,0.0006687187152733388
ाद्,136,0.0006687187152733388
्रे,135,0.000663801665896329
्यु,135,0.000663801665896329
 तस,135,0.000663801665896329
्वर,135,0.000663801665896329
ावण,134,0.0006588846165193191
ा न,134,0.0006588846165193191
ामा,132,0.0006490505177652994
िक्,132,0.0006490505177652994
्नि,132,0.0006490505177652994
न्ध,132,0.0006490505177652994
ि व,131,0.0006441334683882896
र्द,131,0.0006441334683882896
 पा,131,0.0006441334683882896
ण्ड,130,0.0006392164190112797
ामस,130,0.0006392164190112797
। प,130,0.0006392164190112797
हं ,130,0.0006392164190112797
ाः ,130,0.0006392164190112797
नां,129,0.0006342993696342699
ाप्,129,0.0006342993696342699
थान,129,0.0006342993696342699
निर,129,0.0006342993696342699
